Amine,Concentration (m),Temperature (K),CO2​ Loading (mol/mol_alk),PCO2∗​ (Pa),Target -> kg′​ (mol/s·Pa·m²),Source
2-PE,8,353.15,0.525,36110,3.60E-07,Chen 2011
2-PE,8,353.15,0.635,82090,1.70E-07,Chen 2011
2-PE,8,373.15,0.199,20930,7.40E-07,Chen 2011
2-PE,8,373.15,0.36,61570,4.20E-07,Chen 2011
"2,5-DMPZ",2,313.15,0.153,470,1.08E-06,Chen 2011
"2,5-DMPZ",2,313.15,0.255,1600,6.10E-07,Chen 2011
"2,5-DMPZ",2,333.15,0.153,1660,7.90E-07,Chen 2011
"2,5-DMPZ",2,333.15,0.255,5650,4.50E-07,Chen 2011
"2,5-DMPZ",2,353.15,0.153,6670,4.90E-07,Chen 2011
"2,5-DMPZ",2,353.15,0.255,16710,3.80E-07,Chen 2011
"2,5-DMPZ",2,373.15,0.153,21570,2.90E-07,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,313.15,0.21,300,2.48E-06,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,313.15,0.25,800,1.24E-06,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,313.15,0.29,2100,9.20E-07,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,313.15,0.32,4500,5.60E-07,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,333.15,0.21,1700,2.55E-06,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,333.15,0.25,3800,1.50E-06,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,333.15,0.29,9900,8.70E-07,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,333.15,0.32,19000,5.10E-07,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,353.15,0.21,8000,2.01E-06,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,353.15,0.25,16800,1.13E-06,Chen 2011
1MPZ/PZ/DMPZ,3.75m/3.75m/0.5m,373.15,0.21,29200,1.31E-06,Chen 2011
